keyword,category,heat_score,growth_score,confidence,evidence_count,source,observed_date
假如潮流有段位,话题,44.23,44.23,0.122,1,note_observation,2026-06-23
人宠fitcheck,话题,44.23,44.23,0.122,1,note_observation,2026-06-23
复古vibe,话题,44.23,44.23,0.122,1,note_observation,2026-06-23
Y3K超频派对,话题,44.23,44.23,0.122,1,note_observation,2026-06-23
城市先锋美学,话题,44.23,44.23,0.122,1,note_observation,2026-06-23
Cityvibe,话题,44.23,44.23,0.122,1,note_observation,2026-06-23
灵感好店出道计划,灵感,44.23,44.23,0.122,1,note_observation,2026-06-23
不费力时髦,话题,44.23,44.23,0.122,1,note_observation,2026-06-23
未来vibe,话题,44.23,44.23,0.122,1,note_observation,2026-06-23
小红书RFL时尚轻单,话题,44.23,44.23,0.122,1,note_observation,2026-06-23
长期主义,话题,44.23,44.23,0.122,1,note_observation,2026-06-23
街头摄影,话题,39.1,39.1,0.122,1,note_observation,2026-06-23
上海街拍,话题,39.1,39.1,0.122,1,note_observation,2026-06-23
小红书时装周群聊,话题,39.1,39.1,0.122,1,note_observation,2026-06-23
安福路,话题,39.1,39.1,0.122,1,note_observation,2026-06-23
街头穿搭,话题,39.1,39.1,0.122,1,note_observation,2026-06-23
超会穿企划,话题,39.1,39.1,0.122,1,note_observation,2026-06-23
时尚,话题,39.1,39.1,0.122,1,note_observation,2026-06-23
150cm女生穿搭,话题,32.08,32.08,0.122,1,note_observation,2026-06-23
y2k穿搭,话题,29.9,29.9,0.122,1,note_observation,2026-06-23
博主穿搭,话题,29.9,29.9,0.122,1,note_observation,2026-06-23
灰色系穿搭,话题,28.97,28.97,0.122,1,note_observation,2026-06-23
格雷系,话题,28.97,28.97,0.122,1,note_observation,2026-06-23
我的时尚缪斯,话题,28.65,28.65,0.122,1,note_observation,2026-06-23
穿搭日记,话题,28.65,28.65,0.122,1,note_observation,2026-06-23
灵感缪斯,灵感,28.65,28.65,0.122,1,note_observation,2026-06-23
